sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Profile 1;Profile 2
4.516;5344;;10s;Yes;No;2;0.49465;0.97500;0.00000;0.47369;1.46965;BoulwareNegotiationParty@0;ConcederNegotiationParty@1;0.975;0.49464690002105177;0.975;0.49464690002105177;party1_utility.xml;party2_utility.xml
1.174;1408;;10s;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;ConcederNegotiationParty@2;BoulwareNegotiationParty@3;0.6583333333333333;1.0;0.6583333333333333;1.0;party1_utility.xml;party2_utility.xml
;1;Session genius.core.session.Session@28c043da failed: failed to construct agent : Execution failed of init<Appaloosa@4,Participant[Party4,PartyRepositoryItem[Appaloosa,C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class,Appaloosa, is mediator=false],etc/templates/partydomain/party1_utility.xml]>:java.lang.IllegalArgumentException: Attribute names are not unique! Causes: 'Issue 6' 'Issue 6' 'Issue 6' 'Issue 6' 'Issue 6' : Attribute names are not unique! Causes: 'Issue 6' 'Issue 6' 'Issue 6' 'Issue 6' 'Issue 6' :[C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class, negotiator.parties.BoulwareNegotiationParty];10s;No;;0;;;;;;Appaloosa;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;party1_utility;party2_utility
;1;Session genius.core.session.Session@449062c3 failed: failed to construct agent : Execution failed of init<Appaloosa@7,Participant[Party7,PartyRepositoryItem[Appaloosa,C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class,Appaloosa, is mediator=false],etc/templates/partydomain/party2_utility.xml]>:java.lang.IllegalArgumentException: Attribute names are not unique! Causes: 'Issue 6' 'Issue 6' 'Issue 6' 'Issue 6' 'Issue 6' : Attribute names are not unique! Causes: 'Issue 6' 'Issue 6' 'Issue 6' 'Issue 6' 'Issue 6' :[negotiator.parties.BoulwareNegotiationParty, C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class];10s;No;;0;;;;;;BoulwareNegotiationParty;Appaloosa;0.0;0.0;0.0;0.0;party1_utility;party2_utility
;1;Session genius.core.session.Session@1050b343 failed: failed to construct agent : Execution failed of init<Appaloosa@9,Participant[Party9,PartyRepositoryItem[Appaloosa,C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class,Appaloosa, is mediator=false],etc/templates/partydomain/party2_utility.xml]>:java.lang.IllegalArgumentException: Attribute names are not unique! Causes: 'Issue 6' 'Issue 6' 'Issue 6' 'Issue 6' 'Issue 6' : Attribute names are not unique! Causes: 'Issue 6' 'Issue 6' 'Issue 6' 'Issue 6' 'Issue 6' :[negotiator.parties.ConcederNegotiationParty, C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class];10s;No;;0;;;;;;ConcederNegotiationParty;Appaloosa;0.0;0.0;0.0;0.0;party1_utility;party2_utility
;1;Session genius.core.session.Session@45f28434 failed: failed to construct agent : Execution failed of init<Appaloosa@10,Participant[Party10,PartyRepositoryItem[Appaloosa,C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class,Appaloosa, is mediator=false],etc/templates/partydomain/party1_utility.xml]>:java.lang.IllegalArgumentException: Attribute names are not unique! Causes: 'Issue 6' 'Issue 6' 'Issue 6' 'Issue 6' 'Issue 6' : Attribute names are not unique! Causes: 'Issue 6' 'Issue 6' 'Issue 6' 'Issue 6' 'Issue 6' :[C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class, negotiator.parties.ConcederNegotiationParty];10s;No;;0;;;;;;Appaloosa;ConcederNegotiationParty;0.0;0.0;0.0;0.0;party1_utility;party2_utility
4.516;5351;;10s;Yes;No;2;0.49465;0.97500;0.00000;0.47369;1.46965;BoulwareNegotiationParty@12;ConcederNegotiationParty@13;0.975;0.49464690002105177;0.975;0.49464690002105177;party1_utility.xml;party2_utility.xml
1.174;1400;;10s;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;ConcederNegotiationParty@14;BoulwareNegotiationParty@15;0.6583333333333333;1.0;0.6583333333333333;1.0;party1_utility.xml;party2_utility.xml
;1;Session genius.core.session.Session@7eac9eb5 failed: failed to construct agent : Execution failed of init<Appaloosa@16,Participant[Party16,PartyRepositoryItem[Appaloosa,C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class,Appaloosa, is mediator=false],etc/templates/partydomain/party1_utility.xml]>:java.lang.IllegalArgumentException: Attribute names are not unique! Causes: 'Issue 6' 'Issue 6' 'Issue 6' 'Issue 6' 'Issue 6' : Attribute names are not unique! Causes: 'Issue 6' 'Issue 6' 'Issue 6' 'Issue 6' 'Issue 6' :[C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class, negotiator.parties.BoulwareNegotiationParty];10s;No;;0;;;;;;Appaloosa;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;party1_utility;party2_utility
;1;Session genius.core.session.Session@c349709 failed: failed to construct agent : Execution failed of init<Appaloosa@19,Participant[Party19,PartyRepositoryItem[Appaloosa,C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class,Appaloosa, is mediator=false],etc/templates/partydomain/party2_utility.xml]>:java.lang.IllegalArgumentException: Attribute names are not unique! Causes: 'Issue 6' 'Issue 6' 'Issue 6' 'Issue 6' 'Issue 6' : Attribute names are not unique! Causes: 'Issue 6' 'Issue 6' 'Issue 6' 'Issue 6' 'Issue 6' :[negotiator.parties.BoulwareNegotiationParty, C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class];10s;No;;0;;;;;;BoulwareNegotiationParty;Appaloosa;0.0;0.0;0.0;0.0;party1_utility;party2_utility
