sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Profile 1;Profile 2
10.000;2571;;10s;No;No;1;0.00000;0.00000;1.08556;1.20458;0.00000;PonPokoAgent@0;Appaloosa@1;0.0;0.0;0.0;0.0;party2_utility.xml;party3_utility.xml
;2;Session genius.core.session.Session@15bfa078 failed: Failed to execute protocol: Execution failed of Appaloosa@2:java.lang.NullPointerException: null:[C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class, agents.anac.y2017.ponpokoagent.PonPokoAgent];10s;No;;0;;;;;;Appaloosa;PonPokoAgent;0.0;0.0;0.0;0.0;party2_utility;party3_utility
10.000;3817;;10s;No;No;1;0.00000;0.00000;1.08556;1.20458;0.00000;PonPokoAgent@4;Appaloosa@5;0.0;0.0;0.0;0.0;party2_utility.xml;party3_utility.xml
;2;Session genius.core.session.Session@ea5c43c failed: Failed to execute protocol: Execution failed of Appaloosa@6:java.lang.NullPointerException: null:[C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class, agents.anac.y2017.ponpokoagent.PonPokoAgent];10s;No;;0;;;;;;Appaloosa;PonPokoAgent;0.0;0.0;0.0;0.0;party2_utility;party3_utility
