sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Profile 1;Profile 2
0.048;8;;40rounds;Yes;No;2;0.83583;0.84001;0.02068;0.10210;1.67585;ConcederNegotiationParty@0;Appaloosa@1;0.8358333333333332;0.8400142500258816;0.8358333333333332;0.8400142500258816;party1_utility.xml;party2_utility.xml
0.019;8;;40rounds;Yes;No;2;0.77250;0.91209;0.01483;0.02068;1.68459;Appaloosa@2;ConcederNegotiationParty@3;0.7725;0.9120887338395958;0.7725;0.9120887338395958;party1_utility.xml;party2_utility.xml
0.015;7;;40rounds;Yes;No;2;0.77250;0.91209;0.01483;0.02068;1.68459;ConcederNegotiationParty@4;Appaloosa@5;0.7725;0.9120887338395958;0.7725;0.9120887338395958;party1_utility.xml;party2_utility.xml
0.010;5;;40rounds;Yes;No;2;0.62500;0.77942;0.20285;0.21873;1.40442;Appaloosa@6;ConcederNegotiationParty@7;0.625;0.7794220086835254;0.625;0.7794220086835254;party1_utility.xml;party2_utility.xml
