sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Profile 1;Profile 2
10.000;11388;;10s;No;No;1;0.00000;0.00000;0.70711;0.70711;0.00000;PonPokoAgent@0;Appaloosa@1;0.0;0.0;0.0;0.0;pie_A.xml;pie_B.xml
10.000;11208;;10s;No;No;1;0.00000;0.00000;0.70711;0.70711;0.00000;Appaloosa@2;PonPokoAgent@3;0.0;0.0;0.0;0.0;pie_A.xml;pie_B.xml
10.000;11689;;10s;No;No;1;0.00000;0.00000;0.70711;0.70711;0.00000;GroupY@4;PonPokoAgent@5;0.0;0.0;0.0;0.0;pie_A.xml;pie_B.xml
10.000;11860;;10s;No;No;1;0.00000;0.00000;0.70711;0.70711;0.00000;PonPokoAgent@6;GroupY@7;0.0;0.0;0.0;0.0;pie_A.xml;pie_B.xml
10.000;10939;;10s;No;No;1;0.00000;0.00000;0.70711;0.70711;0.00000;Appaloosa@8;GroupY@9;0.0;0.0;0.0;0.0;pie_A.xml;pie_B.xml
10.000;9322;;10s;No;No;1;0.00000;0.00000;0.70711;0.70711;0.00000;GroupY@10;Appaloosa@11;0.0;0.0;0.0;0.0;pie_A.xml;pie_B.xml
10.000;9613;;10s;No;No;1;0.00000;0.00000;0.70711;0.70711;0.00000;PonPokoAgent@12;Appaloosa@13;0.0;0.0;0.0;0.0;pie_A.xml;pie_B.xml
