sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Profile 1;Profile 2
;2;Session genius.core.session.Session@6d7d2f19 failed: Failed to execute protocol: Negotiating party Appaloosa@1 timed out in chooseAction() method.: agent Appaloosa@1 passed deadline and was killed:[C:\Users\og4428\orhun_workspace\Anac\bin\groupY\GroupY.class, C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class];10s;No;;0;;;;;;GroupY;Appaloosa;0.0;0.0;0.0;0.0;party1_utility;party2_utility
;2;Session genius.core.session.Session@6278df3 failed: Failed to execute protocol: Negotiating party Appaloosa@2 timed out in chooseAction() method.: agent Appaloosa@2 passed deadline and was killed:[C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class, C:\Users\og4428\orhun_workspace\Anac\bin\groupY\GroupY.class];10s;No;;0;;;;;;Appaloosa;GroupY;0.0;0.0;0.0;0.0;party1_utility;party2_utility
