sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Profile 1;Profile 2
10.000;7807;;10s;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;PonPokoAgent@0;Appaloosa@1;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
;4;Session genius.core.session.Session@5aca46ca failed: Failed to execute protocol: Execution failed of Appaloosa@2:java.lang.IllegalArgumentException: bound must be greater than origin: bound must be greater than origin:[C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class, agents.anac.y2017.ponpokoagent.PonPokoAgent];10s;No;;0;;;;;;Appaloosa;PonPokoAgent;0.0;0.0;0.0;0.0;party1_utility;party2_utility
;3;Session genius.core.session.Session@6b64e68e failed: Failed to execute protocol: Execution failed of Appaloosa@5:java.lang.IllegalArgumentException: bound must be greater than origin: bound must be greater than origin:[agents.anac.y2017.ponpokoagent.PonPokoAgent, C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class];10s;No;;0;;;;;;PonPokoAgent;Appaloosa;0.0;0.0;0.0;0.0;party1_utility;party2_utility
;3;Session genius.core.session.Session@457fd1e5 failed: Failed to execute protocol: Execution failed of Appaloosa@6:java.lang.IllegalArgumentException: bound must be greater than origin: bound must be greater than origin:[C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class, agents.anac.y2017.ponpokoagent.PonPokoAgent];10s;No;;0;;;;;;Appaloosa;PonPokoAgent;0.0;0.0;0.0;0.0;party1_utility;party2_utility
;6;Session genius.core.session.Session@65adccca failed: Failed to execute protocol: Execution failed of Appaloosa@9:java.lang.IllegalArgumentException: bound must be greater than origin: bound must be greater than origin:[agents.anac.y2017.ponpokoagent.PonPokoAgent, C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class];10s;No;;0;;;;;;PonPokoAgent;Appaloosa;0.0;0.0;0.0;0.0;party1_utility;party2_utility
;5;Session genius.core.session.Session@64843f1e failed: Failed to execute protocol: Execution failed of Appaloosa@10:java.lang.IllegalArgumentException: bound must be greater than origin: bound must be greater than origin:[C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class, agents.anac.y2017.ponpokoagent.PonPokoAgent];10s;No;;0;;;;;;Appaloosa;PonPokoAgent;0.0;0.0;0.0;0.0;party1_utility;party2_utility
;2;Session genius.core.session.Session@3ef58cd4 failed: Failed to execute protocol: Execution failed of Appaloosa@13:java.lang.IllegalArgumentException: bound must be greater than origin: bound must be greater than origin:[agents.anac.y2017.ponpokoagent.PonPokoAgent, C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class];10s;No;;0;;;;;;PonPokoAgent;Appaloosa;0.0;0.0;0.0;0.0;party1_utility;party2_utility
;3;Session genius.core.session.Session@3c44df25 failed: Failed to execute protocol: Execution failed of Appaloosa@14:java.lang.IllegalArgumentException: bound must be greater than origin: bound must be greater than origin:[C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class, agents.anac.y2017.ponpokoagent.PonPokoAgent];10s;No;;0;;;;;;Appaloosa;PonPokoAgent;0.0;0.0;0.0;0.0;party1_utility;party2_utility
