sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Profile 1;Profile 2
0.528;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;Appaloosa@0;GroupY@1;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.517;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;GroupY@2;Appaloosa@3;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.471;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;Appaloosa@4;GroupY@5;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.432;181;;180rounds;Yes;No;2;0.72167;0.92793;0.04826;0.06334;1.64959;GroupY@6;Appaloosa@7;0.7216666666666667;0.9279255161862858;0.7216666666666667;0.9279255161862858;party1_utility.xml;party2_utility.xml
