sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Profile 1;Profile 2
4.974;177;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;GroupY@0;Appaloosa@1;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
4.610;150;;180rounds;Yes;No;2;0.83583;0.84001;0.02068;0.10210;1.67585;Appaloosa@2;GroupY@3;0.8358333333333332;0.8400142500258816;0.8358333333333332;0.8400142500258816;party1_utility.xml;party2_utility.xml
3.660;177;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;GroupY@4;Appaloosa@5;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
3.232;150;;180rounds;Yes;No;2;0.83583;0.84001;0.02068;0.10210;1.67585;Appaloosa@6;GroupY@7;0.8358333333333332;0.8400142500258816;0.8358333333333332;0.8400142500258816;party1_utility.xml;party2_utility.xml
