sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Profile 1;Profile 2
0.488;176;;180rounds;Yes;No;2;0.83583;0.84001;0.02068;0.10210;1.67585;PonPokoAgent@0;Appaloosa@1;0.8358333333333332;0.8400142500258816;0.8358333333333332;0.8400142500258816;party1_utility.xml;party2_utility.xml
0.268;179;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;Appaloosa@2;PonPokoAgent@3;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
0.282;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;PonPokoAgent@4;Appaloosa@5;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.331;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;Appaloosa@6;PonPokoAgent@7;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
