sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Profile 1;Profile 2
0.011;5;;10s;Yes;No;2;0.57352;0.74019;0.19152;0.30005;1.31372;Appaloosa@0;RandomParty@1;0.5735239939943523;0.7401947527375912;0.5735239939943523;0.7401947527375912;party2_utility.xml;party3_utility.xml
0.005;4;;10s;Yes;No;2;0.61146;0.69151;0.21856;0.28897;1.30297;RandomParty@2;Appaloosa@3;0.6114634941138899;0.6915104165709939;0.6114634941138899;0.6915104165709939;party2_utility.xml;party3_utility.xml
0.005;5;;10s;Yes;No;2;0.57750;0.70818;0.23806;0.30197;1.28568;Appaloosa@4;RandomParty@5;0.5775;0.7081769355846869;0.5775;0.7081769355846869;party1_utility.xml;party3_utility.xml
0.002;2;;10s;Yes;No;2;0.53500;0.72986;0.23506;0.33568;1.26486;RandomParty@6;Appaloosa@7;0.535;0.7298626321879;0.535;0.7298626321879;party1_utility.xml;party3_utility.xml
0.003;3;;10s;Yes;No;2;0.50933;0.61417;0.31999;0.45271;1.12350;Appaloosa@8;RandomParty@9;0.6141666666666666;0.5093294255763521;0.6141666666666666;0.5093294255763521;party1_utility.xml;party2_utility.xml
0.002;3;;10s;Yes;No;2;0.42250;0.68168;0.39616;0.43859;1.10418;RandomParty@10;Appaloosa@11;0.4225;0.68168187122151;0.4225;0.68168187122151;party1_utility.xml;party2_utility.xml
0.003;3;;10s;Yes;No;2;0.31718;0.59598;0.41134;0.59286;0.91316;Appaloosa@12;RandomParty@13;0.3171835149826234;0.5959771257069957;0.3171835149826234;0.5959771257069957;party2_utility.xml;party3_utility.xml
0.003;2;;10s;Yes;No;2;0.65330;0.80271;0.09992;0.20479;1.45601;RandomParty@14;Appaloosa@15;0.6533006155499502;0.802709397023437;0.6533006155499502;0.802709397023437;party2_utility.xml;party3_utility.xml
0.003;3;;10s;Yes;No;2;0.62500;0.71766;0.20461;0.25438;1.34266;Appaloosa@16;RandomParty@17;0.6249999999999999;0.7176563622072716;0.6249999999999999;0.7176563622072716;party1_utility.xml;party3_utility.xml
0.005;5;;10s;Yes;No;2;0.71140;0.79583;0.09213;0.12316;1.50723;RandomParty@18;Appaloosa@19;0.7958333333333333;0.7113963689237224;0.7958333333333333;0.7113963689237224;party1_utility.xml;party3_utility.xml
0.003;4;;10s;Yes;No;2;0.53000;0.64326;0.35413;0.38265;1.17326;Appaloosa@20;RandomParty@21;0.53;0.6432607521735015;0.53;0.6432607521735015;party1_utility.xml;party2_utility.xml
0.002;2;;10s;Yes;No;2;0.41965;0.79750;0.19270;0.50907;1.21715;RandomParty@22;Appaloosa@23;0.7975;0.41964517434936033;0.7975;0.41964517434936033;party1_utility.xml;party2_utility.xml
0.005;6;;10s;Yes;No;2;0.52394;0.70808;0.24630;0.35818;1.23203;Appaloosa@24;RandomParty@25;0.5239436821851502;0.708081902619185;0.5239436821851502;0.708081902619185;party2_utility.xml;party3_utility.xml
0.002;2;;10s;Yes;No;2;0.78884;0.83517;0.04283;0.06543;1.62401;RandomParty@26;Appaloosa@27;0.7888372000453667;0.8351725513684352;0.7888372000453667;0.8351725513684352;party2_utility.xml;party3_utility.xml
0.003;4;;10s;Yes;No;2;0.54083;0.76923;0.19679;0.32190;1.31006;Appaloosa@28;RandomParty@29;0.5408333333333333;0.7692314041532117;0.5408333333333333;0.7692314041532117;party1_utility.xml;party3_utility.xml
0.002;2;;10s;Yes;No;2;0.48750;0.74768;0.23638;0.37808;1.23518;RandomParty@30;Appaloosa@31;0.48749999999999993;0.747678684850954;0.48749999999999993;0.747678684850954;party1_utility.xml;party3_utility.xml
0.002;3;;10s;Yes;No;2;0.22666;0.52500;0.47056;0.74851;0.75166;Appaloosa@32;RandomParty@33;0.5249999999999999;0.22666178532446207;0.5249999999999999;0.22666178532446207;party1_utility.xml;party2_utility.xml
0.003;3;;10s;Yes;No;2;0.67917;0.81196;0.14033;0.15747;1.49113;RandomParty@34;Appaloosa@35;0.6791666666666666;0.8119626015319312;0.6791666666666666;0.8119626015319312;party1_utility.xml;party2_utility.xml
