sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Profile 1;Profile 2
9.821;9865;;10s;Yes;No;2;0.83583;0.84001;0.02068;0.10210;1.67585;PonPokoAgent@0;Appaloosa@1;0.8358333333333332;0.8400142500258816;0.8358333333333332;0.8400142500258816;party1_utility.xml;party2_utility.xml
;2;Session genius.core.session.Session@126b215 failed: Failed to execute protocol: Execution failed of Appaloosa@2:java.lang.NullPointerException: null:[C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class, agents.anac.y2017.ponpokoagent.PonPokoAgent];10s;No;;0;;;;;;Appaloosa;PonPokoAgent;0.0;0.0;0.0;0.0;party1_utility;party2_utility
10.000;8462;;10s;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;PonPokoAgent@4;Appaloosa@5;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
;2;Session genius.core.session.Session@70009351 failed: Failed to execute protocol: Execution failed of Appaloosa@6:java.lang.NullPointerException: null:[C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class, agents.anac.y2017.ponpokoagent.PonPokoAgent];10s;No;;0;;;;;;Appaloosa;PonPokoAgent;0.0;0.0;0.0;0.0;party1_utility;party2_utility
