sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent;Utility;Disc. Util.;Profile
0.005;2;;10s;Yes;No;1;0.59167;0.59167;0.40833;0.40833;0.59167;[Appaloosa@0];[0.5916666666666666];[0.5916666666666666];[party1_utility.xml]
0.001;2;;10s;Yes;No;1;1.00000;1.00000;0.00000;0.00000;1.00000;[GroupY@1];[1.0];[1.0];[party1_utility.xml]
0.008;2;;10s;Yes;No;1;1.00000;1.00000;0.00000;0.00000;1.00000;[ABMPAgent2@2];[1.0];[1.0];[party1_utility.xml]
0.001;2;;10s;Yes;No;1;0.62333;0.62333;0.37667;0.37667;0.62333;[Appaloosa@3];[0.6233333333333333];[0.6233333333333333];[party1_utility.xml]
0.001;2;;10s;Yes;No;1;1.00000;1.00000;0.00000;0.00000;1.00000;[GroupY@4];[1.0];[1.0];[party1_utility.xml]
0.005;2;;10s;Yes;No;1;0.96250;0.96250;0.03750;0.03750;0.96250;[ABMPAgent2@5];[0.9625];[0.9625];[party1_utility.xml]
0.001;2;;10s;Yes;No;1;0.70083;0.70083;0.29917;0.29917;0.70083;[Appaloosa@6];[0.7008333333333333];[0.7008333333333333];[party1_utility.xml]
0.001;2;;10s;Yes;No;1;1.00000;1.00000;0.00000;0.00000;1.00000;[GroupY@7];[1.0];[1.0];[party1_utility.xml]
0.005;2;;10s;Yes;No;1;0.95417;0.95417;0.04583;0.04583;0.95417;[ABMPAgent2@8];[0.9541666666666666];[0.9541666666666666];[party1_utility.xml]
0.001;2;;10s;Yes;No;1;0.43333;0.43333;0.56667;0.56667;0.43333;[Appaloosa@9];[0.43333333333333335];[0.43333333333333335];[party1_utility.xml]
0.001;2;;10s;Yes;No;1;1.00000;1.00000;0.00000;0.00000;1.00000;[GroupY@10];[1.0];[1.0];[party1_utility.xml]
0.005;2;;10s;Yes;No;1;0.97500;0.97500;0.02500;0.02500;0.97500;[ABMPAgent2@11];[0.975];[0.975];[party1_utility.xml]
