sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Profile 1;Profile 2
0.204;153;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;PonPokoAgent@0;GroupY@1;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
0.205;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;GroupY@2;PonPokoAgent@3;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.271;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;Appaloosa@4;PonPokoAgent@5;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.237;128;;180rounds;Yes;No;2;0.78500;0.88030;0.02381;0.04826;1.66530;PonPokoAgent@6;Appaloosa@7;0.7850000000000001;0.8803024977828533;0.7850000000000001;0.8803024977828533;party1_utility.xml;party2_utility.xml
0.241;177;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;GroupY@8;Appaloosa@9;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
0.227;150;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;Appaloosa@10;GroupY@11;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
0.139;150;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;PonPokoAgent@12;GroupY@13;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
0.172;177;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;GroupY@14;PonPokoAgent@15;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
0.193;162;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;Appaloosa@16;PonPokoAgent@17;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
0.177;129;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;PonPokoAgent@18;Appaloosa@19;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
0.220;171;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;GroupY@20;Appaloosa@21;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
0.190;150;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;Appaloosa@22;GroupY@23;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
