sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Profile 1;Profile 2
;2;Session genius.core.session.Session@1a5d8244 failed: Failed to execute protocol: Execution failed of ABMPAgent2@1:java.lang.IllegalArgumentException: Attribute neither nominal nor string!: Attribute neither nominal nor string!:[C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class, agents.ABMPAgent2];10s;No;;0;;;;;;Appaloosa;ABMPAgent2;0.0;0.0;0.0;0.0;party2_utility;party3_utility
;2;Session genius.core.session.Session@18f397a failed: Failed to execute protocol: Execution failed of ABMPAgent2@2:java.lang.IllegalArgumentException: Attribute neither nominal nor string!: Attribute neither nominal nor string!:[agents.ABMPAgent2, C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class];10s;No;;0;;;;;;ABMPAgent2;Appaloosa;0.0;0.0;0.0;0.0;party2_utility;party3_utility
;2;Session genius.core.session.Session@10c8b569 failed: Failed to execute protocol: Execution failed of BayesianAgent@4:java.lang.NullPointerException: null:[agents.BayesianAgent, C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class];10s;No;;0;;;;;;BayesianAgent;Appaloosa;0.0;0.0;0.0;0.0;party2_utility;party3_utility
;2;Session genius.core.session.Session@76c21f2 failed: Failed to execute protocol: Execution failed of BayesianAgent@7:java.lang.NullPointerException: null:[C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class, agents.BayesianAgent];10s;No;;0;;;;;;Appaloosa;BayesianAgent;0.0;0.0;0.0;0.0;party2_utility;party3_utility
0.271;14;;10s;Yes;No;2;0.64496;0.91555;0.01412;0.21703;1.56051;ABMPAgent2@8;BayesianAgent@9;0.6449606393039988;0.9155498918528752;0.6449606393039988;0.9155498918528752;party2_utility.xml;party3_utility.xml
0.324;18;;10s;Yes;No;2;0.73085;0.90721;0.00000;0.13238;1.63806;BayesianAgent@10;ABMPAgent2@11;0.9072107560432943;0.7308463448040173;0.9072107560432943;0.7308463448040173;party2_utility.xml;party3_utility.xml
;2;Session genius.core.session.Session@372a2467 failed: Failed to execute protocol: Execution failed of ABMPAgent2@13:java.lang.IllegalArgumentException: Attribute neither nominal nor string!: Attribute neither nominal nor string!:[C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class, agents.ABMPAgent2];10s;No;;0;;;;;;Appaloosa;ABMPAgent2;0.0;0.0;0.0;0.0;party1_utility;party3_utility
;2;Session genius.core.session.Session@56760104 failed: Failed to execute protocol: Execution failed of ABMPAgent2@14:java.lang.NullPointerException: null:[agents.ABMPAgent2, C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class];10s;No;;0;;;;;;ABMPAgent2;Appaloosa;0.0;0.0;0.0;0.0;party1_utility;party3_utility
;2;Session genius.core.session.Session@1ef82a56 failed: Failed to execute protocol: Execution failed of BayesianAgent@16:java.lang.NullPointerException: null:[agents.BayesianAgent, C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class];10s;No;;0;;;;;;BayesianAgent;Appaloosa;0.0;0.0;0.0;0.0;party1_utility;party3_utility
;2;Session genius.core.session.Session@7f94263b failed: Failed to execute protocol: Execution failed of BayesianAgent@19:java.lang.NullPointerException: null:[C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class, agents.BayesianAgent];10s;No;;0;;;;;;Appaloosa;BayesianAgent;0.0;0.0;0.0;0.0;party1_utility;party3_utility
0.201;11;;10s;Yes;No;2;0.75333;0.87220;0.01671;0.11935;1.62553;ABMPAgent2@20;BayesianAgent@21;0.7533333333333333;0.8721996818099332;0.7533333333333333;0.8721996818099332;party1_utility.xml;party3_utility.xml
0.277;18;;10s;Yes;No;2;0.77669;0.86083;0.00000;0.04037;1.63752;BayesianAgent@22;ABMPAgent2@23;0.8608333333333335;0.7766899870651596;0.8608333333333335;0.7766899870651596;party1_utility.xml;party3_utility.xml
